ID	Gene Name	Species	GAD_DISEASE
PSMD14	proteasome 26S subunit, non-ATPase 14(PSMD14)	Homo sapiens	Coronary Artery Disease,
PSMD3	proteasome 26S subunit, non-ATPase 3(PSMD3)	Homo sapiens	Cell Adhesion Molecules,Leukocyte Count,Neutrophils,neutrophil count ,
PSMD9	proteasome 26S subunit, non-ATPase 9(PSMD9)	Homo sapiens	depression,diabetes, type 2,
POMP	proteasome maturation protein(POMP)	Homo sapiens	Tobacco Use Disorder,
PRKCH	protein kinase C eta(PRKCH)	Homo sapiens	Arthritis, Rheumatoid,Atherosclerosis|Brain Infarction|Hypertension,Brain Infarction,Brain Infarction|,Brain Ischemia|Cerebral Hemorrhage|Stroke,Calcium-Binding Proteins,Creatinine,Exercise Test,Gastritis, Atrophic|Helicobacter Infections|Stomach Neoplasms,Glomerular Filtration Rate,Narcolepsy,Platelet Aggregation,Stroke,Tobacco Use Disorder,depression,rheumatoid arthritis,
PRKCQ	protein kinase C theta(PRKCQ)	Homo sapiens	Alzheimer Disease,Alzheimer's disease   ,Apoplexy|Cerebral Hemorrhage|Cerebral Hemorrhages|Intracranial Hemorrhages|Stroke|Subarachnoid Hemorrhage,Arthritis, Juvenile Rheumatoid|Arthritis, Rheumatoid|Chronic Childhood Arthritis|Rheumatoid Arthritis,Arthritis, Rheumatoid|,Arthritis, Rheumatoid|Rheumatoid Arthritis,Blood Proteins,Body Height,Body Weight,Celiac Disease|,Cell Adhesion Molecules,Cholesterol, LDL,Chronic renal failure|Kidney Failure, Chronic,Coronary Artery Disease,Diabetes Mellitus, Type 1,Exercise Test,Glucose,Hip,Hypertension,Iron,Jaw Abnormalities,Leprosy,Lipids,Mental Competency,Myocardial Infarction,Narcolepsy,Stroke,Tobacco Use Disorder,Type 2 Diabetes| edema | rosiglitazone,Type 2 diabetes|reduced prostate cancer risk,Wegener's granulomatosis,diabetes, type 1 ,hypertension,rheumatoid arthritis,type 1 diabetes,
PRKAR2A	protein kinase cAMP-dependent type II regulatory subunit alpha(PRKAR2A)	Homo sapiens	schizophrenia,
PPP1CB	protein phosphatase 1 catalytic subunit beta(PPP1CB)	Homo sapiens	breast cancer   ,
PPP1R11	protein phosphatase 1 regulatory inhibitor subunit 11(PPP1R11)	Homo sapiens	Lupus Erythematosus, Systemic,Multiple Sclerosis,
PPP2CA	protein phosphatase 2 catalytic subunit alpha(PPP2CA)	Homo sapiens	Narcolepsy,
PPP2R2A	protein phosphatase 2 regulatory subunit Balpha(PPP2R2A)	Homo sapiens	HIV Infections|[X]Human immunodeficiency virus disease,Hypertension,breast cancer   ,
PPP2R1A	protein phosphatase 2 scaffold subunit Aalpha(PPP2R1A)	Homo sapiens	breast cancer   ,
PPP3CC	protein phosphatase 3 catalytic subunit gamma(PPP3CC)	Homo sapiens	Amphetamine-Related Disorders|Psychoses, Substance-Induced,HIV-1,Psychiatric Disorders,Schizophrenia,schizophrenia,
PPP4R3B	protein phosphatase 4 regulatory subunit 3B(PPP4R3B)	Homo sapiens	Blood Pressure,Body Weight,Metabolic Syndrome X,
PPM1G	protein phosphatase, Mg2+/Mn2+ dependent 1G(PPM1G)	Homo sapiens	Alcoholism,
PPM1K	protein phosphatase, Mg2+/Mn2+ dependent 1K(PPM1K)	Homo sapiens	Acquired Immunodeficiency Syndrome|Disease Progression,Amyotrophic Lateral Sclerosis|,Conduct Disorder,Conduct disorder (interaction),Metabolism,Stroke,
PTPN1	protein tyrosine phosphatase non-receptor type 1(PTPN1)	Homo sapiens	Alzheimer's disease   ,Atrophy|Helicobacter Infections|Stomach Neoplasms,Cardiomyopathy, Hypertrophic|Hypertrophic Cardiomyopathy|Noonan Syndrome|Pulmonary Valve Stenosis|Syndrome|Turner's phenotype, karyotype normal,Chronic renal failure|Kidney Failure, Chronic,Diabetes mellitus|Diabetes mellitus type II|Diabetes Mellitus, Type 2,Insulin Resistance|Metabolic Syndrome X,Kidney Failure, Chronic,Lymphoma, Non-Hodgkin,Obesity,Obesity, Morbid,Type 2 diabetes,anthropometric parameters diabetes, type 2 insulin,atherosclerosis,atherosclerosis, diabetic,body mass; diabetes, type 2; hypertension; albuminuria; glycohemoglobin A1,diabetes or impaired glucose tolerance,diabetes, type 2,diabetes, type 2 glucose insulin obesity,diabetes, type 2 obesity,diabetes, type 2; glucose tolerance,glucose tolerance; insulin,glucose tolerance; insulin; body fat,hypertension,insulin; body fat; metabolic syndrome,obesity,ovarian cancer,plasma HDL cholesterol (HDL-C) levels,type 1 diabetes,
PTPN2	protein tyrosine phosphatase non-receptor type 2(PTPN2)	Homo sapiens	Addison Disease|,Anti-Neutrophil Cytoplasmic Antibody-Associated Vasculitis|,Arthritis, Rheumatoid,Arthritis, Rheumatoid|,Arthritis|Arthritis, Juvenile Rheumatoid|Arthritis, Rheumatoid|Autoimmune Diseases|Lupus Erythematosus, Systemic,Autoimmune Diseases,Autoimmune Diseases|Lupus Erythematosus, Systemic|Systemic lupus erythematosus,C-Reactive Protein,Celiac Disease,Celiac Disease|,Celiac disease,Colitis, Ulcerative|Crohn Disease|,Colonic Diseases|Crohn Disease|Ileal Diseases,Crohn Disease|Crohn's disease,Crohn Disease|Crohn's disease|Inflammatory bowel disease, NOS|Inflammatory Bowel Diseases,Crohn Disease|Rectal Fistula,Crohn's,Crohn's disease,Diabetes Mellitus, Insulin-Dependent|Diabetes Mellitus, Type 1|Disease Progression,Diabetes Mellitus, Type 1,Magnesium,Tobacco Use Disorder,Type 1 diabetes,Type 2 diabetes|reduced prostate cancer risk,diabetes, type 1 ,type 1 diabetes,ulcerative colitis,
PUM2	pumilio RNA binding family member 2(PUM2)	Homo sapiens	Attention Deficit Disorder with Hyperactivity,azoospermia,
PNP	purine nucleoside phosphorylase(PNP)	Homo sapiens	Alzheimer's disease cognitive function,
PHTF2	putative homeodomain transcription factor 2(PHTF2)	Homo sapiens	Behcet Syndrome,Body Mass Index,Cholesterol,Cholesterol, LDL,Hematocrit,Hemoglobins,Insulin,Lipids,
PYHIN1	pyrin and HIN domain family member 1(PYHIN1)	Homo sapiens	Asthma,Glucose,Lupus Erythematosus, Systemic|Systemic lupus erythematosus,Tobacco Use Disorder,
ROMO1	reactive oxygen species modulator 1(ROMO1)	Homo sapiens	Acquired Immunodeficiency Syndrome|Disease Progression,
RGS1	regulator of G protein signaling 1(RGS1)	Homo sapiens	Arthritis, Juvenile Rheumatoid|Autoimmune Diseases|Celiac Disease|Chronic Childhood Arthritis|Diabetes Mellitus, Insulin-Dependent|Diabetes Mellitus, Type 1,Bulimia,Carcinoma, Squamous Cell|Head and Neck Neoplasms|Neoplasm Recurrence, Local|Neoplasms, Second Primary|Squamous cell carcinoma,Celiac Disease|,Celiac disease,Multiple Sclerosis,Type 2 Diabetes| edema | rosiglitazone,coeliac disease,diabetes, type 1 ,multiple sclerosis,
RGS10	regulator of G protein signaling 10(RGS10)	Homo sapiens	Alzheimer's disease   ,Bulimia,Carcinoma, Squamous Cell|Head and Neck Neoplasms|Neoplasm Recurrence, Local|Neoplasms, Second Primary|Squamous cell carcinoma,schizophrenia,
RGS2	regulator of G protein signaling 2(RGS2)	Homo sapiens	Autonomic Nervous System Diseases|Syncope, Vasovagal,Blood Coagulation Factors,Blood Pressure,Bulimia,C-Reactive Protein,Carcinoma, Squamous Cell|Head and Neck Neoplasms|Neoplasm Recurrence, Local|Neoplasms, Second Primary|Squamous cell carcinoma,Cholesterol, HDL,Hip,Hyperlipidemias|Hypertension,Hypertension,Marijuana Abuse|Psychoses, Substance-Induced,Multiple Sclerosis,Parkinson Disease,Parkinson's disease    ,Postmortem Changes,Receptors, Tumor Necrosis Factor,Schizophrenia,Syncope,Type 2 Diabetes| edema | rosiglitazone,anxiety,atherosclerosis,bladder cancer,esophageal adenocarcinoma,extrapyramidal side effects,hypertension,lung cancer,metabolic syndrome,ovarian cancer,panic disorder,schizophrenia,suicidal ideation,
RPA1	replication protein A1(RPA1)	Homo sapiens	Coronary Disease,Forced Expiratory Volume,Head and Neck Neoplasms|Neoplasm Recurrence, Local|Neoplasms, Second Primary,Leukemia, Myeloid, Chronic-Phase,Stroke,bladder cancer,breast cancer,coronary spastic angina.,head and neck cancer lung cancer,multiple sclerosis,schizophrenia,
RPA3	replication protein A3(RPA3)	Homo sapiens	Alcoholism,Breath Tests,Cholesterol,Cholesterol, LDL,Leukemia, Myeloid, Chronic-Phase,Myocardial Infarction,bladder cancer,breast cancer,head and neck cancer lung cancer,multiple sclerosis,
RTN4	reticulon 4(RTN4)	Homo sapiens	Cardiomyopathy, Dilated,Cholesterol, HDL,Hypertension,Lipids,Tobacco Use Disorder,Triglycerides,obesity (extreme),schizophrenia,schizophrenia; bipolar disorder,
RNASET2	ribonuclease T2(RNASET2)	Homo sapiens	Crohn Disease|Crohn's disease,Graves Disease,Vitiligo,
RNF114	ring finger protein 114(RNF114)	Homo sapiens	Arthritis, Psoriatic|Psoriasis|Psoriatic arthropathy,Parkinson Disease,Parkinson's disease    ,Psoriasis,
RNF115	ring finger protein 115(RNF115)	Homo sapiens	Tobacco Use Disorder,
RNF145	ring finger protein 145(RNF145)	Homo sapiens	Platelet Count,
RNF149	ring finger protein 149(RNF149)	Homo sapiens	Glucose,Pancreatic Neoplasms,
RNF19A	ring finger protein 19A, RBR E3 ubiquitin protein ligase(RNF19A)	Homo sapiens	Angiography,Body Height,Echocardiography,Heart Function Tests,Sleep,
RNF41	ring finger protein 41(RNF41)	Homo sapiens	Parkinson's disease    ,
SLFN12L	schlafen family member 12 like(SLFN12L)	Homo sapiens	Diabetes Mellitus, Insulin-Dependent|Diabetes Mellitus, Type 1|HIV Infections|[X]Human immunodeficiency virus disease,Tobacco Use Disorder,
SCAMP2	secretory carrier membrane protein 2(SCAMP2)	Homo sapiens	Hemoglobin A, Glycosylated,Hyperparathyroidism, Secondary,
SCAMP3	secretory carrier membrane protein 3(SCAMP3)	Homo sapiens	Crohn Disease,
SELPLG	selectin P ligand(SELPLG)	Homo sapiens	Atherosclerosis,Birth Weight|Leukemia|Leukemia, Myeloid, Acute|Precursor Cell Lymphoblastic Leukemia-Lymphoma,Conduct Disorder,Coronary Disease|Coronary heart disease,Hemorrhagic Disorders,Inflammation|Lymphoma, Non-Hodgkin|Lymphoma, Non-Hodgkin's,Leukemia, Lymphocytic, Chronic, B-Cell,Meningeal Neoplasms|meningioma,Myocardial Infarction|Ventricular Fibrillation,Thrombosis|Venous Thrombosis,Type 2 Diabetes| edema | rosiglitazone,antiphospholipid syndrome thrombosis,atherosclerosis, coronary,cerebrovascular disease,heart disease, ischemic,heart disease, ischemic stroke, ischemic,heart disease, ischemic; peripheral arterial disease,multiple sclerosis,myocardial infarct,
SRSF3	serine and arginine rich splicing factor 3(SRSF3)	Homo sapiens	Basophils,Electrocardiography,Glaucoma, Open-Angle,Heart Function Tests,
SRSF9	serine and arginine rich splicing factor 9(SRSF9)	Homo sapiens	Glaucoma, Open-Angle,
SERINC1	serine incorporator 1(SERINC1)	Homo sapiens	Cleft Lip|Cleft Palate|Tooth Abnormalities,Respiratory Function Tests,
SERINC5	serine incorporator 5(SERINC5)	Homo sapiens	Albumins,Arteries,Tobacco Use Disorder,
STK10	serine/threonine kinase 10(STK10)	Homo sapiens	Blood Cells,Cholesterol,Tobacco Use Disorder,
SHISA5	shisa family member 5(SHISA5)	Homo sapiens	schizophrenia,
SPN	sialophorin(SPN)	Homo sapiens	Chronic renal failure|Kidney Failure, Chronic,atopy,
STAT5B	signal transducer and activator of transcription 5B(STAT5B)	Homo sapiens	Birth Weight|Leukemia|Leukemia, Myeloid, Acute|Precursor Cell Lymphoblastic Leukemia-Lymphoma,Cleft Lip|Cleft Palate|Tooth Abnormalities,Meningeal Neoplasms|meningioma,Precursor Cell Lymphoblastic Leukemia-Lymphoma,Type 2 Diabetes| edema | rosiglitazone,breast cancer,height,myeloid leukemia,plasma HDL cholesterol (HDL-C) levels,
STAM	signal transducing adaptor molecule(STAM)	Homo sapiens	Alzheimer's disease   ,
SSBP1	single stranded DNA binding protein 1(SSBP1)	Homo sapiens	Acquired Immunodeficiency Syndrome|Disease Progression,Hemoglobin A, Glycosylated,
SMAP1	small ArfGAP 1(SMAP1)	Homo sapiens	CD40 Ligand,
SGTA	small glutamine rich tetratricopeptide repeat co-chaperone alpha(SGTA)	Homo sapiens	Insulin Resistance|Polycystic Ovary Syndrome,POLYCYSTIC OVARIAN SYNDROME|Polycystic Ovary Syndrome,
SLC16A3	solute carrier family 16 member 3(SLC16A3)	Homo sapiens	Type 2 Diabetes| edema | rosiglitazone,
SLC30A5	solute carrier family 30 member 5(SLC30A5)	Homo sapiens	lung cancer,prostate cancer,
SLC7A5	solute carrier family 7 member 5(SLC7A5)	Homo sapiens	Chronic renal failure|Kidney Failure, Chronic,melphalan pharmacokinetics melphalan side effects,
SNX5	sorting nexin 5(SNX5)	Homo sapiens	Alzheimer's disease   ,
SPTAN1	spectrin alpha, non-erythrocytic 1(SPTAN1)	Homo sapiens	HIV Infections|[X]Human immunodeficiency virus disease,Tobacco Use Disorder,Type 2 Diabetes| edema | rosiglitazone,
S1PR1	sphingosine-1-phosphate receptor 1(S1PR1)	Homo sapiens	Asthma,Brain Ischemia|Cardiovascular Diseases|Coronary Disease|Stroke,Coronary Disease|Coronary heart disease|Myocardial Infarction,Type 2 Diabetes| edema | rosiglitazone,atherosclerosis,
SF3A2	splicing factor 3a subunit 2(SF3A2)	Homo sapiens	Tobacco Use Disorder,
SF3B6	splicing factor 3b subunit 6(SF3B6)	Homo sapiens	benzene haematotoxicity,
STIP1	stress induced phosphoprotein 1(STIP1)	Homo sapiens	Attention Deficit Disorder with Hyperactivity,asthma,breast cancer,
SDF2L1	stromal cell derived factor 2 like 1(SDF2L1)	Homo sapiens	Heart Failure,
SDHC	succinate dehydrogenase complex subunit C(SDHC)	Homo sapiens	Acquired Immunodeficiency Syndrome|Disease Progression,Adrenal Gland Neoplasms|Adrenal Neoplasm|Paraganglioma|Pheochromocytoma,Adrenal Gland Neoplasms|Adrenal Neoplasm|Paraganglioma|Pheochromocytoma|Syndrome,Adrenal Gland Neoplasms|Carcinoma, Renal Cell|Kidney Neoplasms|Paraganglioma|Pheochromocytoma,Adrenal Gland Neoplasms|Multiple Endocrine Neoplasia Type 2a|Paraganglioma|Pheochromocytoma|von Hippel-Lindau Disease,Adrenal Gland Neoplasms|Paraganglioma|Pheochromocytoma,Adrenal Gland Neoplasms|Pheochromocytoma,H. pylori infection stomach cancer,Head and Neck Neoplasms|Paraganglioma,Paraganglioma,head and neck cancer,hypoxia,paragangliomas, head and neck,pheochromocytomas and paragangliomas,pheochtomocytomas,prostate cancer,spermatogenesis,thyroid cancer,
SNAP29	synaptosome associated protein 29(SNAP29)	Homo sapiens	Urogenital Abnormalities,schizophrenia,several psychiatric disorders,
SYTL3	synaptotagmin like 3(SYTL3)	Homo sapiens	Lipoprotein(a),Type 2 Diabetes| edema | rosiglitazone,
TTC3	tetratricopeptide repeat domain 3(TTC3)	Homo sapiens	Body Weight Changes,Eye Color,Tobacco Use Disorder,
TXN2	thioredoxin 2(TXN2)	Homo sapiens	Acquired Immunodeficiency Syndrome|Disease Progression,Aging/ Telomere Length,Head and Neck Neoplasms|Neoplasm Recurrence, Local|Neoplasms, Second Primary,Neural Tube Defects|Spinal Dysraphism,breast cancer,breast cancer   ,cognitive trait,
TMX1	thioredoxin related transmembrane protein 1(TMX1)	Homo sapiens	Bilirubin,Lupus Erythematosus, Systemic,Schizophrenia,
TMX3	thioredoxin related transmembrane protein 3(TMX3)	Homo sapiens	Celiac Disease|,
TYMP	thymidine phosphorylase(TYMP)	Homo sapiens	Amyotrophic Lateral Sclerosis|Anoxia|,Deafness|Diabetes Complications|Diabetes Mellitus|Intestinal Pseudo-Obstruction|Pancreatitis|Recurrence,Erythrocyte Indices,Intestinal Pseudo-Obstruction|Mitochondrial Diseases,Type 2 Diabetes| edema | rosiglitazone,encephalomyopathy,mean corpuscular volume,
TOR3A	torsin family 3 member A(TOR3A)	Homo sapiens	Erythrocyte Count,Tobacco Use Disorder,
TLK1	tousled like kinase 1(TLK1)	Homo sapiens	Lipoproteins,Menopause,Waist Circumference,Waist-Hip Ratio,
TCERG1	transcription elongation regulator 1(TCERG1)	Homo sapiens	Celiac Disease,
TADA3	transcriptional adaptor 3(TADA3)	Homo sapiens	Type 2 Diabetes| edema | rosiglitazone,
TKT	transketolase(TKT)	Homo sapiens	Heart Function Tests,Waist Circumference,
TSN	translin(TSN)	Homo sapiens	Attention Deficit Disorder with Hyperactivity,Audiometry, Pure-Tone,Cholesterol,Erectile Dysfunction,Erythrocyte Indices,Heart Rate,Life Expectancy,Maximal Midexpiratory Flow Rate,Respiratory Function Tests,Stroke,Triglycerides,Varicose Veins,Waist-Hip Ratio,monocyte chemoattractant protein 1 (66-77),
TRAM1	translocation associated membrane protein 1(TRAM1)	Homo sapiens	Birth Weight|Leukemia|Leukemia, Myeloid, Acute|Precursor Cell Lymphoblastic Leukemia-Lymphoma,Dengue Hemorrhagic Fever,Hepatitis C|Remission, Spontaneous,Meningeal Neoplasms|meningioma,
TMBIM6	transmembrane BAX inhibitor motif containing 6(TMBIM6)	Homo sapiens	Alzheimer's disease   ,Breath Tests,Type 2 Diabetes| edema | rosiglitazone,
TMEM11	transmembrane protein 11(TMEM11)	Homo sapiens	Acquired Immunodeficiency Syndrome|Disease Progression,
TMEM14C	transmembrane protein 14C(TMEM14C)	Homo sapiens	Acquired Immunodeficiency Syndrome|Disease Progression,
TMEM170A	transmembrane protein 170A(TMEM170A)	Homo sapiens	high-density lipoprotein cholesterol ,
TMEM70	transmembrane protein 70(TMEM70)	Homo sapiens	Acquired Immunodeficiency Syndrome|Disease Progression,Type 2 Diabetes| edema | rosiglitazone,
TMEM87A	transmembrane protein 87A(TMEM87A)	Homo sapiens	Stroke,
TNRC6B	trinucleotide repeat containing adaptor 6B(TNRC6B)	Homo sapiens	Body Height,Creatinine,E-Selectin,Echocardiography,Erythrocyte Indices,Fibromyoma,Insulin,Insulin Resistance,Prostatic Neoplasms,height,prostate cancer,
TRIM22	tripartite motif containing 22(TRIM22)	Homo sapiens	rubella vaccine,
TRIM4	tripartite motif containing 4(TRIM4)	Homo sapiens	Creatinine,Dehydroepiandrosterone Sulfate,Glomerular Filtration Rate,Metabolism,
TWF1	twinfilin actin binding protein 1(TWF1)	Homo sapiens	Birth Weight|Leukemia|Leukemia, Myeloid, Acute|Precursor Cell Lymphoblastic Leukemia-Lymphoma,Meningeal Neoplasms|meningioma,
YWHAE	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon(YWHAE)	Homo sapiens	breast cancer,suicide,
YWHAQ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta(YWHAQ)	Homo sapiens	Cholesterol, LDL,Heart Rate,Respiratory Function Tests,breast cancer   ,
TDP2	tyrosyl-DNA phosphodiesterase 2(TDP2)	Homo sapiens	Hypertrophy, Left Ventricular,Narcolepsy,Polyradiculoneuropathy, Chronic Inflammatory Demyelinating,
UQCRC1	ubiquinol-cytochrome c reductase core protein 1(UQCRC1)	Homo sapiens	Acquired Immunodeficiency Syndrome|Disease Progression,
UBE2J2	ubiquitin conjugating enzyme E2 J2(UBE2J2)	Homo sapiens	Waist Circumference,
UBE2L3	ubiquitin conjugating enzyme E2 L3(UBE2L3)	Homo sapiens	Autoimmune Diseases|Lupus Erythematosus, Systemic|Systemic lupus erythematosus,Celiac disease,Cholesterol, HDL,Crohn Disease,Crohn Disease|Crohn's disease,Erythrocyte Indices,Lupus Erythematosus, Systemic,systemic lupus erythematosus,
UBL5	ubiquitin like 5(UBL5)	Homo sapiens	Autism,Body Weight|Obesity,metabolic syndrome,
UHRF2	ubiquitin like with PHD and ring finger domains 2(UHRF2)	Homo sapiens	C-Reactive Protein,Erythrocyte Count,Tobacco Use Disorder,
UBR2	ubiquitin protein ligase E3 component n-recognin 2(UBR2)	Homo sapiens	Tobacco Use Disorder,
USP15	ubiquitin specific peptidase 15(USP15)	Homo sapiens	Tobacco Use Disorder,
USP36	ubiquitin specific peptidase 36(USP36)	Homo sapiens	Parkinson Disease,
UCP2	uncoupling protein 2(UCP2)	Homo sapiens	Acquired Immunodeficiency Syndrome|Disease Progression,Acute Coronary Syndrome|Diabetes Complications|Diabetes mellitus|Obesity,Aging/ Telomere Length,Arthritis, Rheumatoid|Cholangitis, Sclerosing|Churg-Strauss Syndrome|Colitis, Ulcerative|Crohn Disease|Lupus Erythematosus, Systemic|Multiple Sclerosis|Psoriasis,Atherosclerosis|Diabetes Mellitus, Type 2,BMI   rosiglitazone or pioglitazone,Body Mass Index,Body Weight|Obesity|Overweight,Breast Neoplasms|Endometrial Neoplasms|Glucose Intolerance|Insulin Resistance,Bulimia,Cardiovascular Diseases|Cerebrovascular Disorders,Cardiovascular Diseases|Diabetes Mellitus, Type 2|Overweight,Cardiovascular Diseases|Inflammation,Chronic renal failure|Kidney Failure, Chronic,Coronary Disease,Coronary Disease|Diabetes Mellitus, Type 2|Diabetic Angiopathies,Diabetes Mellitus, Type 2,Diabetes Mellitus, Type 2|Myocardial Infarction,Diabetes mellitus type II|Diabetes Mellitus, Type 2,Diabetes mellitus type II|Diabetes Mellitus, Type 2|Diabetic Neuropathies,Diabetes mellitus type II|Diabetes Mellitus, Type 2|Glucose Metabolism Disorders,Diabetes mellitus type II|Diabetes Mellitus, Type 2|Insulin Resistance,Diabetes mellitus|Metabolic Syndrome X,Glomerulonephritis, IGA,Graves disease,Hypercholesterolemia|LDLC levels,Hyperglycemia|Insulin Resistance|Sepsis,Hyperhomocysteinemia|Venous Thrombosis,Kidney Failure, Chronic,Metabolic Syndrome,Metabolic Syndrome X|Obesity,Neural Tube Defects,Obesity,Obesity, Morbid,Obesity, Morbid|Weight Loss,Obesity|Overweight,Obesity|POF - Premature ovarian failure|POLYCYSTIC OVARIAN SYNDROME|Polycystic Ovary Syndrome|Primary Ovarian Insufficiency|Puberty, Delayed|Puberty, Precocious|Thrombophilia|Tobacco Use Disorder,Obesity|Weight Loss,Overfeeding,Sleep Apnea, Obstructive,Type 2 Diabetes| edema | rosiglitazone,Type 2 diabetes,Weight Loss,anorexia nervosa,atherosclerosis,atherosclerosis, coronary; diabetes, type 2,body mass,body mass insulin waist circumference,body mass; diabetes, type 2; energy expenditure,body mass; insulin; obesity; glucose,carotid atherosclerosis,cholesterol, HDL,cognitive trait,diabetes, type 2,diabetes, type 2; hypertension; obesity, localized,diabetes, type 2; obesity,elite endurance,exercise efficiency,fat reduction obesity,healthy oldest-old,heart disease, ischemic,insulin,insulin; lipids; obesity; glucose; blood pressure; hormones,insulin; obesity,leptin,metabolic syndrome,multiple sclerosis,neural tube defects,neuropathy, diabetic,normal variation,obesity,obesity|Type 2 diabetes,oxidative stress,oxidative stress ,peritoneal dialysis,plasma HDL cholesterol (HDL-C) levels,proliferative diabetic retinopathy,schizophrenia,weight gain,
UTRN	utrophin(UTRN)	Homo sapiens	Albumins,Hip,Hypertension,Iron,Leukocyte Count,Schizophrenia,Tobacco Use Disorder,
VPS13C	vacuolar protein sorting 13 homolog C(VPS13C)	Homo sapiens	Glucose Tolerance Test,Schizophrenia,two-hour glucose challenge ,
VPS4A	vacuolar protein sorting 4 homolog A(VPS4A)	Homo sapiens	Lipoproteins, HDL,
VAMP5	vesicle associated membrane protein 5(VAMP5)	Homo sapiens	glaucoma, primary open-angle,
VAMP7	vesicle associated membrane protein 7(VAMP7)	Homo sapiens	bipolar affective disorder,
VTA1	vesicle trafficking 1(VTA1)	Homo sapiens	Cardiovascular Diseases,Retinal Vein,Sleep,von Willebrand Factor,
VTI1B	vesicle transport through interaction with t-SNAREs 1B(VTI1B)	Homo sapiens	Alzheimer's disease   ,
VEZT	vezatin, adherens junctions transmembrane protein(VEZT)	Homo sapiens	Cholesterol,Cholesterol, LDL,Erythrocyte Indices,
VDAC1	voltage dependent anion channel 1(VDAC1)	Homo sapiens	Acquired Immunodeficiency Syndrome|Disease Progression,Multiple Sclerosis,Narcolepsy,
VHL	von Hippel-Lindau tumor suppressor(VHL)	Homo sapiens	Adrenal Gland Neoplasms|Adrenal Neoplasm|Neoplasms, Multiple Primary|Paraganglioma|Pheochromocytoma,Adrenal Gland Neoplasms|Adrenal Neoplasm|Paraganglioma|Pheochromocytoma,Adrenal Gland Neoplasms|Head and Neck Neoplasms|Paraganglioma|Pheochromocytoma,Adrenal Gland Neoplasms|Multiple Endocrine Neoplasia Type 2a|Paraganglioma|Pheochromocytoma|von Hippel-Lindau Disease,Adrenal Gland Neoplasms|Paraganglioma|Pheochromocytoma,Adrenal Gland Neoplasms|Pheochromocytoma,Altitude Sickness|,Carcinoma, Renal Cell|Kidney Neoplasms,Carcinoma, Renal Cell|Kidney Neoplasms|Renal Cell Carcinoma,Cerebellar Neoplasms|Hemangioblastoma|von Hippel-Lindau Disease,Chuvash-type congenital polycythemia,Head and Neck Neoplasms|Multiple Endocrine Neoplasia Type 2a|Paraganglioma|von Hippel-Lindau Disease,Head and Neck Neoplasms|Paraganglioma,Lymphoproliferative Disorders|Myelodysplastic Syndromes,Pancreatic Neoplasms,Polycythemia,Renal cell carcinoma,Type 2 Diabetes| edema | rosiglitazone,brain cancer,breast cancer,colorectal carcinoma,congenital polycythemia.,esophageal adenocarcinoma,germline mutations,kidney cancer,non-papillary renal cell carcinomas,pheochromocytoma,pheochromocytomas and paragangliomas,pheochtomocytomas,polycythemia,renal cancer,retinal hemangioblastomas,von Hippel-Lindau Disease,von Hippel-Lindau Disease|Von Hippel-Lindau Syndrome,von Hippel-Lindau syndrome (VHL).,von Hippel-Lindau type 2A,
ZFAND2A	zinc finger AN1-type containing 2A(ZFAND2A)	Homo sapiens	Cholesterol, HDL,Waist-Hip Ratio,
ZFAND3	zinc finger AN1-type containing 3(ZFAND3)	Homo sapiens	Alcoholism,Diabetes Mellitus, Type 2,Insulin Resistance,Tobacco Use Disorder,
ZMYM2	zinc finger MYM-type containing 2(ZMYM2)	Homo sapiens	Tobacco Use Disorder,
ZNF331	zinc finger protein 331(ZNF331)	Homo sapiens	Tobacco Use Disorder,
