ID	Gene Name	Species	DISGENET
HSPB1	heat shock protein family B (small) member 1(HSPB1)	Homo sapiens	C0007102~Malignant tumor of colon,C0007134~Renal Cell Carcinoma,C0007137~Squamous cell carcinoma,C0007194~Hypertrophic Cardiomyopathy,C0009375~Colonic Neoplasms,C0011616~Contact Dermatitis,C0018801~Heart failure,C0018802~Congestive heart failure,C0019693~HIV Infections,C0020507~Hyperplasia,C0023212~Left-Sided Heart Failure,C0023467~Leukemia, Myelocytic, Acute,C0024623~Malignant neoplasm of stomach,C0026640~Mouth Neoplasms,C0026764~Multiple Myeloma,C0026998~Acute Myeloid Leukemia, M1,C0035126~Reperfusion Injury,C0038220~Status Epilepticus,C0038356~Stomach Neoplasms,C0040411~Tongue Neoplasms,C0152013~Adenocarcinoma of lung (disorder),C0153349~Malignant neoplasm of tongue,C0153381~Malignant neoplasm of mouth,C0162351~Contact hypersensitivity,C0235527~Heart Failure, Right-Sided,C0270823~Petit mal status,C0279702~Conventional (Clear Cell) Renal Cell Carcinoma,C0311335~Grand Mal Status Epilepticus,C0393734~Complex Partial Status Epilepticus,C0751522~Status Epilepticus, Subclinical,C0751523~Non-Convulsive Status Epilepticus,C0751524~Simple Partial Status Epilepticus,C1266042~Chromophobe Renal Cell Carcinoma,C1266043~Sarcomatoid Renal Cell Carcinoma,C1266044~Collecting Duct Carcinoma of the Kidney,C1306837~Papillary Renal Cell Carcinoma,C1708349~Hereditary Diffuse Gastric Cancer,C1847823~CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2F,C1854023~Spinal muscular atrophy, Jerash type,C1879321~Acute Myeloid Leukemia (AML-M2),C1959583~Myocardial Failure,C1961112~Heart Decompensation,C2239176~Liver carcinoma,C2608087~NEURONOPATHY, DISTAL HEREDITARY MOTOR, TYPE IIB,C3711384~Distal Hereditary Motor Neuropathy, Type II,C4505456~HIV Coinfection,C4551472~Hypertrophic obstructive cardiomyopathy,
HP1BP3	heterochromatin protein 1 binding protein 3(HP1BP3)	Homo sapiens	C0221074~Depression, Postpartum,
HNRNPH1	heterogeneous nuclear ribonucleoprotein H1(HNRNPH1)	Homo sapiens	C0033578~Prostatic Neoplasms,C0376358~Malignant neoplasm of prostate,C1961099~Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,
HNRNPL	heterogeneous nuclear ribonucleoprotein L(HNRNPL)	Homo sapiens	C0006142~Malignant neoplasm of breast,C0024623~Malignant neoplasm of stomach,C0038356~Stomach Neoplasms,C0235874~Disease Exacerbation,C0678222~Breast Carcinoma,C1257931~Mammary Neoplasms, Human,C1458155~Mammary Neoplasms,C1708349~Hereditary Diffuse Gastric Cancer,C4704874~Mammary Carcinoma, Human,
HNRNPU	heterogeneous nuclear ribonucleoprotein U(HNRNPU)	Homo sapiens	C0014544~Epilepsy,C0086237~Epilepsy, Cryptogenic,C0236018~Aura,C0543888~Epileptic encephalopathy,C0751111~Awakening Epilepsy,C1535926~Neurodevelopmental Disorders,C3714756~Intellectual Disability,C4304540~1q44 microdeletion syndrome,C4479319~EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 54,
HADHA	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha(HADHA)	Homo sapiens	C0019193~Hepatitis, Toxic,C0029408~Degenerative polyarthritis,C0086743~Osteoarthrosis Deformans,C0151744~Myocardial Ischemia,C0369183~Erythrocyte Mean Corpuscular Hemoglobin Test,C0860207~Drug-Induced Liver Disease,C1261502~Finding of Mean Corpuscular Hemoglobin,C1262760~Hepatitis, Drug-Induced,C1455728~Acute fatty liver of pregnancy,C1969443~Trifunctional Protein Deficiency With Myopathy And Neuropathy,C3658290~Drug-Induced Acute Liver Injury,C3711645~Long chain 3-hydroxyacyl-CoA dehydrogenase deficiency,C3714237~Trifunctional Protein Deficiency, Type 2,C4277682~Chemical and Drug Induced Liver Injury,C4279912~Chemically-Induced Liver Toxicity,
HPRT1	hypoxanthine phosphoribosyltransferase 1(HPRT1)	Homo sapiens	C0013421~Dystonia,C0023374~Lesch-Nyhan Syndrome,C0268117~Gout, HPRT-Related,C0740394~Hyperuricemia,C1959897~Alcohol consumption during pregnancy,
ICOS	inducible T cell costimulator(ICOS)	Homo sapiens	C0009447~Common Variable Immunodeficiency,C0023493~Adult T-Cell Lymphoma/Leukemia,C0086438~Hypogammaglobulinemia,C0494261~Combined immunodeficiency,C2936664~Acquired Hypogammaglobulinemia,C2936665~Immunoglobulin Deficiency, Late-Onset,C3149378~IMMUNODEFICIENCY, COMMON VARIABLE, 1,
IVNS1ABP	influenza virus NS1A binding protein(IVNS1ABP)	Homo sapiens	C0033578~Prostatic Neoplasms,C0376358~Malignant neoplasm of prostate,
IKBKG	inhibitor of nuclear factor kappa B kinase regulatory subunit gamma(IKBKG)	Homo sapiens	C0019207~Hepatoma, Morris,C0019208~Hepatoma, Novikoff,C0021171~Bloch Sulzberger syndrome,C0023893~Liver Cirrhosis, Experimental,C0023904~Liver Neoplasms, Experimental,C0024121~Lung Neoplasms,C0086404~Experimental Hepatoma,C0242379~Malignant neoplasm of lung,C0400966~Non-alcoholic Fatty Liver Disease,C1845073~INVASIVE PNEUMOCOCCAL DISEASE, RECURRENT ISOLATED, 2 (disorder),C1845117~Immunodeficiency without anhidrotic ectodermal dysplasia,C1845919~Ectodermal Dysplasia, Anhidrotic, with Immunodeficiency, Osteopetrosis, and Lymphedema,C1846006~Ectodermal dysplasia, hypohidrotic, with immune deficiency,C1846008~HYPER-IgM IMMUNODEFICIENCY, X-LINKED, WITH ECTODERMAL DYSPLASIA, HYPOHIDROTIC,C1970879~ATYPICAL MYCOBACTERIOSIS, FAMILIAL, X-LINKED 1 (disorder),C3241937~Nonalcoholic Steatohepatitis,
PPA1	inorganic pyrophosphatase 1(PPA1)	Homo sapiens	C0006142~Malignant neoplasm of breast,
IMPDH2	inosine monophosphate dehydrogenase 2(IMPDH2)	Homo sapiens	C0152013~Adenocarcinoma of lung (disorder),
INPP5D	inositol polyphosphate-5-phosphatase D(INPP5D)	Homo sapiens	C0002395~Alzheimer's Disease,C0011265~Presenile dementia,C0023893~Liver Cirrhosis, Experimental,C0035126~Reperfusion Injury,C0276496~Familial Alzheimer Disease (FAD),C0494463~Alzheimer Disease, Late Onset,C0546126~Acute Confusional Senile Dementia,C0750900~Alzheimer's Disease, Focal Onset,C0750901~Alzheimer Disease, Early Onset,
ILK	integrin linked kinase(ILK)	Homo sapiens	C0007787~Transient Ischemic Attack,C0009171~Cocaine Abuse,C0009376~Colonic Polyps,C0014544~Epilepsy,C0023893~Liver Cirrhosis, Experimental,C0039978~Thoracic Diseases,C0086237~Epilepsy, Cryptogenic,C0236018~Aura,C0236736~Cocaine-Related Disorders,C0345967~Malignant mesothelioma,C0472381~Posterior Circulation Transient Ischemic Attack,C0600427~Cocaine Dependence,C0751019~Carotid Circulation Transient Ischemic Attack,C0751020~Transient Ischemic Attack, Vertebrobasilar Circulation,C0751021~Crescendo Transient Ischemic Attacks,C0751022~Brain Stem Ischemia, Transient,C0751111~Awakening Epilepsy,C0917805~Transient Cerebral Ischemia,C1527335~Transient Ischemic Attack, Anterior Circulation,
ITGAL	integrin subunit alpha L(ITGAL)	Homo sapiens	C0004943~Behcet Syndrome,C0021390~Inflammatory Bowel Diseases,C0023487~Acute Promyelocytic Leukemia,C0023893~Liver Cirrhosis, Experimental,C2362914~clinical depression,
ITGB1BP1	integrin subunit beta 1 binding protein 1(ITGB1BP1)	Homo sapiens	C0005941~Bone Diseases, Developmental,C0376634~Craniofacial Abnormalities,
ITGB2	integrin subunit beta 2(ITGB2)	Homo sapiens	C0004943~Behcet Syndrome,C0006118~Brain Neoplasms,C0006663~Calcinosis,C0011603~Dermatitis,C0018824~Heart valve disease,C0020517~Hypersensitivity,C0023487~Acute Promyelocytic Leukemia,C0023510~Leukocyte Disorders,C0023893~Liver Cirrhosis, Experimental,C0027720~Nephrosis,C0032285~Pneumonia,C0032300~Lobar Pneumonia,C0037299~Skin Ulcer,C0153633~Malignant neoplasm of brain,C0242597~Leukocyte-Adhesion Deficiency Syndrome,C0263454~Chloracne,C0263628~Tumoral calcinosis,C0398738~Leukocyte adhesion deficiency type 1,C0496899~Benign neoplasm of brain, unspecified,C0521174~Microcalcification,C0750974~Brain Tumor, Primary,C0750977~Recurrent Brain Neoplasm,C0750979~Primary malignant neoplasm of brain,C0887898~Experimental Lung Inflammation,C1527304~Allergic Reaction,C1527390~Neoplasms, Intracranial,C3714636~Pneumonitis,
ICAM3	intercellular adhesion molecule 3(ICAM3)	Homo sapiens	C0008312~Primary biliary cirrhosis,C0023892~Biliary cirrhosis,C0238065~Secondary Biliary Cholangitis,C4551595~Biliary Cirrhosis, Primary, 1,
IFITM1	interferon induced transmembrane protein 1(IFITM1)	Homo sapiens	C0023893~Liver Cirrhosis, Experimental,
IRF1	interferon regulatory factor 1(IRF1)	Homo sapiens	C0023467~Leukemia, Myelocytic, Acute,C0024121~Lung Neoplasms,C0024623~Malignant neoplasm of stomach,C0038356~Stomach Neoplasms,C0038454~Cerebrovascular accident,C0151744~Myocardial Ischemia,C0153943~Benign neoplasm of stomach,C0154060~Carcinoma in situ of stomach,C0242379~Malignant neoplasm of lung,C0496905~Neoplasm of uncertain or unknown behavior of stomach,C0684249~Carcinoma of lung,C0699791~Stomach Carcinoma,C0751956~Acute Cerebrovascular Accidents,C1708349~Hereditary Diffuse Gastric Cancer,
IRF2BP2	interferon regulatory factor 2 binding protein 2(IRF2BP2)	Homo sapiens	C0009447~Common Variable Immunodeficiency,C0023487~Acute Promyelocytic Leukemia,C4540380~IMMUNODEFICIENCY, COMMON VARIABLE, 14,
IRF7	interferon regulatory factor 7(IRF7)	Homo sapiens	C0021368~Inflammation,C0021400~Influenza,C0041696~Unipolar Depression,C1269683~Major Depressive Disorder,C4225358~IMMUNODEFICIENCY 39,
IL10RA	interleukin 10 receptor subunit alpha(IL10RA)	Homo sapiens	C0009324~Ulcerative Colitis,C0021390~Inflammatory Bowel Diseases,C0023290~Leishmaniasis, Visceral,C0036341~Schizophrenia,C2751053~INFLAMMATORY BOWEL DISEASE 28, AUTOSOMAL RECESSIVE,
IL2RB	interleukin 2 receptor subunit beta(IL2RB)	Homo sapiens	C0003873~Rheumatoid Arthritis,C0005586~Bipolar Disorder,C0020517~Hypersensitivity,C0023893~Liver Cirrhosis, Experimental,C0032285~Pneumonia,C0032300~Lobar Pneumonia,C0887898~Experimental Lung Inflammation,C1527304~Allergic Reaction,C2930967~Gastro-enteropancreatic neuroendocrine tumor,C2931171~Juvenile pauciarticular chronic arthritis,C3714636~Pneumonitis,
IL2RG	interleukin 2 receptor subunit gamma(IL2RG)	Homo sapiens	C0023893~Liver Cirrhosis, Experimental,C0036341~Schizophrenia,C0036920~Sezary Syndrome,C0085110~Severe Combined Immunodeficiency,C0221765~Chronic schizophrenia,C0700216~Structural Clinical Interview for DSM-III,C1279481~X-Linked Combined Immunodeficiency Diseases,C2700553~Omenn Syndrome,
IL27RA	interleukin 27 receptor subunit alpha(IL27RA)	Homo sapiens	C0004681~Bagassosis,C0032273~Pneumoconiosis,
IDH3B	isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit beta(IDH3B)	Homo sapiens	C0015397~Disorder of eye,C0024623~Malignant neoplasm of stomach,C0035334~Retinitis Pigmentosa,C0038356~Stomach Neoplasms,C0235874~Disease Exacerbation,C1708349~Hereditary Diffuse Gastric Cancer,C2675496~Retinitis Pigmentosa 46,
JARID2	jumonji and AT-rich interaction domain containing 2(JARID2)	Homo sapiens	C0036341~Schizophrenia,C1510586~Autism Spectrum Disorders,
KPNA1	karyopherin subunit alpha 1(KPNA1)	Homo sapiens	C0036341~Schizophrenia,
KPNB1	karyopherin subunit beta 1(KPNB1)	Homo sapiens	C0019693~HIV Infections,C4505456~HIV Coinfection,C4721610~Carcinoma, Ovarian Epithelial,
KIF22	kinesin family member 22(KIF22)	Homo sapiens	C0878659~Disproportionate short stature,C1863732~Spondyloepimetaphyseal dysplasia with multiple dislocations,
LDHB	lactate dehydrogenase B(LDHB)	Homo sapiens	C0006142~Malignant neoplasm of breast,C0007124~Noninfiltrating Intraductal Carcinoma,C0007134~Renal Cell Carcinoma,C0023893~Liver Cirrhosis, Experimental,C0025521~Inborn Errors of Metabolism,C0027626~Neoplasm Invasiveness,C0033578~Prostatic Neoplasms,C0279702~Conventional (Clear Cell) Renal Cell Carcinoma,C0376358~Malignant neoplasm of prostate,C0678222~Breast Carcinoma,C0948089~Acute Coronary Syndrome,C1257931~Mammary Neoplasms, Human,C1266042~Chromophobe Renal Cell Carcinoma,C1266043~Sarcomatoid Renal Cell Carcinoma,C1266044~Collecting Duct Carcinoma of the Kidney,C1306837~Papillary Renal Cell Carcinoma,C1332347~Atypical Ductal Breast Hyperplasia,C1458155~Mammary Neoplasms,C3279904~Lactate Dehydrogenase B Deficiency,C4704874~Mammary Carcinoma, Human,
LBR	lamin B receptor(LBR)	Homo sapiens	C0030779~Pelger-Huet Anomaly,C0152427~Polydactyly,C0549306~Mesomelia,C0748397~Reynolds syndrome,C1866730~Rhizomelia,C2931048~HEM dysplasia,C3179244~Pseudo Pelger-Huet Anomaly,C4747922~PELGER-HUET ANOMALY WITH MILD SKELETAL ANOMALIES,
LMNB1	lamin B1(LMNB1)	Homo sapiens	C0152013~Adenocarcinoma of lung (disorder),C0205711~Pelizaeus-Merzbacher Disease,C0751914~Adult Pelizaeus-Merzbacher Disease,C0751915~Pelizaeus-Merzbacher Disease, Atypical,C0751916~Classic Pelizaeus-Merzbacher Disease,C0751917~Pelizaeus-Merzbacher Disease, Transitional,C0751918~Cockayne-Pelizaeus-Merzbacher Disease,C1868512~Leukodystrophy, Demyelinating, Adult-Onset, Autosomal Dominant,C3164344~Adult onset autosomal dominant leukodystrophy,
LMAN1	lectin, mannose binding 1(LMAN1)	Homo sapiens	C1856883~FACTOR V AND FACTOR VIII, COMBINED DEFICIENCY OF,C4551981~Familial Multiple Coagulation Factor Deficiency I,
LCMT1	leucine carboxyl methyltransferase 1(LCMT1)	Homo sapiens	C0012684~Blastocyst Disintegration,C0013937~Embryo Resorption,C0752350~Embryo Death,C0752351~Embryo Loss,C1136082~Embryo Disintegration,
LRRC59	leucine rich repeat containing 59(LRRC59)	Homo sapiens	C0007131~Non-Small Cell Lung Carcinoma,C0017636~Glioblastoma,C0024232~Lymphatic Metastasis,C0334588~Giant Cell Glioblastoma,C0919267~ovarian neoplasm,C1140680~Malignant neoplasm of ovary,C1621958~Glioblastoma Multiforme,C2239176~Liver carcinoma,
LNPEP	leucyl and cystinyl aminopeptidase(LNPEP)	Homo sapiens	C0024668~Mammary Neoplasms, Experimental,C0025261~Memory Disorders,C0233794~Memory impairment,C0751292~Age-Related Memory Disorders,C0751293~Memory Disorder, Semantic,C0751294~Memory Disorder, Spatial,C0751295~Memory Loss,
LTA4H	leukotriene A4 hydrolase(LTA4H)	Homo sapiens	C0004153~Atherosclerosis,C0011570~Mental Depression,C0011581~Depressive disorder,C0023893~Liver Cirrhosis, Experimental,C1563937~Atherogenesis,
LPXN	leupaxin(LPXN)	Homo sapiens	C0023893~Liver Cirrhosis, Experimental,
LAT	linker for activation of T cells(LAT)	Homo sapiens	C0023895~Liver diseases,C0086565~Liver Dysfunction,C0149504~Encephalopathy, Toxic,C0154659~Toxic Encephalitis,C0235032~Neurotoxicity Syndromes,C1862939~AMYOTROPHIC LATERAL SCLEROSIS 1,C1862941~Amyotrophic Lateral Sclerosis, Sporadic,C4479588~IMMUNODEFICIENCY 52,C4551993~Amyotrophic Lateral Sclerosis, Familial,
LMF2	lipase maturation factor 2(LMF2)	Homo sapiens	C0006142~Malignant neoplasm of breast,
LITAF	lipopolysaccharide induced TNF factor(LITAF)	Homo sapiens	C0033578~Prostatic Neoplasms,C0270913~Charcot-Marie-Tooth disease, Type 1C,C0376358~Malignant neoplasm of prostate,
LCP1	lymphocyte cytosolic protein 1(LCP1)	Homo sapiens	C0023893~Liver Cirrhosis, Experimental,C0028043~Nicotine Dependence,C0040332~Tobacco Dependence,C0376384~Nicotine Use Disorder,
KAT6B	lysine acetyltransferase 6B(KAT6B)	Homo sapiens	C0006142~Malignant neoplasm of breast,C0028326~Noonan Syndrome,C0087031~Juvenile-Onset Still Disease,C0853193~Bipolar I disorder,C1853566~Genitopatellar Syndrome,C1863557~Young Simpson syndrome,C3495559~Juvenile arthritis,C3714758~Juvenile psoriatic arthritis,C4552091~Polyarthritis, Juvenile, Rheumatoid Factor Negative,C4704862~Polyarthritis, Juvenile, Rheumatoid Factor Positive,
KDM2A	lysine demethylase 2A(KDM2A)	Homo sapiens	C0009402~Colorectal Carcinoma,C0009404~Colorectal Neoplasms,C2931456~Prostate cancer, familial,C4722327~PROSTATE CANCER, HEREDITARY, 1,
KDM2B	lysine demethylase 2B(KDM2B)	Homo sapiens	C0036341~Schizophrenia,
LAMP2	lysosomal associated membrane protein 2(LAMP2)	Homo sapiens	C0017919~Glycogen Storage Disease,C0038220~Status Epilepticus,C0270823~Petit mal status,C0311335~Grand Mal Status Epilepticus,C0393734~Complex Partial Status Epilepticus,C0751522~Status Epilepticus, Subclinical,C0751523~Non-Convulsive Status Epilepticus,C0751524~Simple Partial Status Epilepticus,C0878544~Cardiomyopathies,C0878677~Glycogen Storage Disease Type IIb,
MAEA	macrophage erythroblast attacher, E3 ubiquitin ligase(MAEA)	Homo sapiens	C0011860~Diabetes Mellitus, Non-Insulin-Dependent,
HLA-E	major histocompatibility complex, class I, E(HLA-E)	Homo sapiens	C0005586~Bipolar Disorder,C0014799~Erythroderma, Maculopapular,C0030437~Parakeratosis Variegata,C0030491~Parapsoriasis,C0033975~Psychotic Disorders,C0036341~Schizophrenia,C0162442~Parapsoriasis en Plaques,C0349204~Nonorganic psychosis,
MED28	mediator complex subunit 28(MED28)	Homo sapiens	C0006142~Malignant neoplasm of breast,C0027627~Neoplasm Metastasis,C0678222~Breast Carcinoma,C1257931~Mammary Neoplasms, Human,C1458155~Mammary Neoplasms,C4704874~Mammary Carcinoma, Human,
MAT2A	methionine adenosyltransferase 2A(MAT2A)	Homo sapiens	C4707243~Familial thoracic aortic aneurysm and aortic dissection,
MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase(MTHFD2)	Homo sapiens	C0019829~Hodgkin Disease,C0152266~Mixed Cellularity Hodgkin Lymphoma,C0152267~Hodgkin lymphoma, lymphocyte depletion,C0220597~Adult Hodgkin Lymphoma,C1266194~Lymphocyte Rich Classical Hodgkin Lymphoma,C1334968~Nodular Lymphocyte Predominant Hodgkin Lymphoma,
MVD	mevalonate diphosphate decarboxylase(MVD)	Homo sapiens	C0265970~Porokeratosis, Disseminated Superficial Actinic,C0302319~Porokeratosis, Linear,C3553549~POROKERATOSIS 7, MULTIPLE TYPES,
MCRS1	microspherule protein 1(MCRS1)	Homo sapiens	C0009402~Colorectal Carcinoma,
MAPRE2	microtubule associated protein RP/EB family member 2(MAPRE2)	Homo sapiens	C0473586~Michelin tire baby syndrome,C4225225~SKIN CREASES, CONGENITAL SYMMETRIC CIRCUMFERENTIAL, 2,
MFF	mitochondrial fission factor(MFF)	Homo sapiens	C0009402~Colorectal Carcinoma,C0027051~Myocardial Infarction,C0242698~Ventricular Dysfunction, Left,C4310726~ENCEPHALOPATHY DUE TO DEFECTIVE MITOCHONDRIAL AND PEROXISOMAL FISSION 2,
MRPS16	mitochondrial ribosomal protein S16(MRPS16)	Homo sapiens	C1864843~Combined Oxidative Phosphorylation Deficiency 2,
MRPS23	mitochondrial ribosomal protein S23(MRPS23)	Homo sapiens	C0006142~Malignant neoplasm of breast,C0023895~Liver diseases,C0678222~Breast Carcinoma,C1257931~Mammary Neoplasms, Human,C1458155~Mammary Neoplasms,C4704874~Mammary Carcinoma, Human,
MRPS7	mitochondrial ribosomal protein S7(MRPS7)	Homo sapiens	C0006142~Malignant neoplasm of breast,C0678222~Breast Carcinoma,C1257931~Mammary Neoplasms, Human,C1458155~Mammary Neoplasms,C4693450~COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 34,C4704874~Mammary Carcinoma, Human,
MAP2K3	mitogen-activated protein kinase kinase 3(MAP2K3)	Homo sapiens	C0007102~Malignant tumor of colon,
MORF4L1	mortality factor 4 like 1(MORF4L1)	Homo sapiens	C0010606~Adenoid Cystic Carcinoma,
MBNL1	muscleblind like splicing regulator 1(MBNL1)	Homo sapiens	C0027125~Myotonia,C0036341~Schizophrenia,C0751358~Myotonic Phenomenon,C0751359~Percussion Myotonia,C2931456~Prostate cancer, familial,C3250443~MYOTONIC DYSTROPHY 1,C4722327~PROSTATE CANCER, HEREDITARY, 1,
MBP	myelin basic protein(MBP)	Homo sapiens	C0001973~Alcoholic Intoxication, Chronic,C0011303~Demyelinating Diseases,C0011304~Demyelination,C0014072~Experimental Autoimmune Encephalomyelitis,C0027873~Neuromyelitis Optica,C0036341~Schizophrenia,C2350037~Clinically Isolated Syndrome, CNS Demyelinating,
MYADM	myeloid associated differentiation marker(MYADM)	Homo sapiens	C0023893~Liver Cirrhosis, Experimental,
MEF2D	myocyte enhancer factor 2D(MEF2D)	Homo sapiens	C0338480~Common Migraine,
MYH9	myosin heavy chain 9(MYH9)	Homo sapiens	C0006142~Malignant neoplasm of breast,C0017668~Focal glomerulosclerosis,C0018784~Sensorineural Hearing Loss (disorder),C0018965~Hematuria,C0020544~Renal hypertension,C0022661~Kidney Failure, Chronic,C0027626~Neoplasm Invasiveness,C0027706~Hereditary nephritis,C0033687~Proteinuria,C0035078~Kidney Failure,C0086432~Hyalinosis, Segmental Glomerular,C0086543~Cataract,C0206692~Carcinoma, Lobular,C0340978~May-Hegglin anomaly,C0398641~Epstein syndrome (disorder),C0403445~Fechtner syndrome (disorder),C0410005~Nodular fasciitis,C0477317~Other primary thrombocytopenia,C0678222~Breast Carcinoma,C1257931~Mammary Neoplasms, Human,C1458155~Mammary Neoplasms,C1567741~Alport Syndrome,C1567742~Alport Syndrome, X-Linked,C1567743~Alport Syndrome, Autosomal Dominant,C1567744~Alport Syndrome, Autosomal Recessive,C1834478~MACROTHROMBOCYTOPENIA AND PROGRESSIVE SENSORINEURAL DEAFNESS,C1842035~Giant Platelet Syndrome with Thrombocytopenia,C1854520~SEBASTIAN SYNDROME,C1863659~DEAFNESS, AUTOSOMAL DOMINANT 17,C2931716~Deafness, autosomal dominant nonsyndromic sensorineural 17,C2931861~Hemorrhagic hereditary nephritis,C4280711~Leukocyte inclusion bodies,C4704874~Mammary Carcinoma, Human,
NCDN	neurochondrin(NCDN)	Homo sapiens	C0009402~Colorectal Carcinoma,
NPTN	neuroplastin(NPTN)	Homo sapiens	C0020538~Hypertensive disease,C0036341~Schizophrenia,C0151744~Myocardial Ischemia,
NUFIP2	nuclear FMR1 interacting protein 2(NUFIP2)	Homo sapiens	C0036341~Schizophrenia,
NFATC2	nuclear factor of activated T cells 2(NFATC2)	Homo sapiens	C0011860~Diabetes Mellitus, Non-Insulin-Dependent,C0020542~Pulmonary Hypertension,C0027765~nervous system disorder,
NEAT1	nuclear paraspeckle assembly transcript 1(NEAT1)	Homo sapiens	C0023903~Liver neoplasms,C0033578~Prostatic Neoplasms,C0087031~Juvenile-Onset Still Disease,C0345904~Malignant neoplasm of liver,C0376358~Malignant neoplasm of prostate,C3495559~Juvenile arthritis,C3714758~Juvenile psoriatic arthritis,C4552091~Polyarthritis, Juvenile, Rheumatoid Factor Negative,C4704862~Polyarthritis, Juvenile, Rheumatoid Factor Positive,
NCOA4	nuclear receptor coactivator 4(NCOA4)	Homo sapiens	C0040136~Thyroid Neoplasm,C0151468~Thyroid Gland Follicular Adenoma,C0238463~Papillary thyroid carcinoma,C0549473~Thyroid carcinoma,
NUTF2	nuclear transport factor 2(NUTF2)	Homo sapiens	C0019693~HIV Infections,C4505456~HIV Coinfection,
NAP1L4	nucleosome assembly protein 1 like 4(NAP1L4)	Homo sapiens	C0001973~Alcoholic Intoxication, Chronic,
NDEL1	nudE neurodevelopment protein 1 like 1(NDEL1)	Homo sapiens	C0033975~Psychotic Disorders,C0036341~Schizophrenia,C0087031~Juvenile-Onset Still Disease,C0349204~Nonorganic psychosis,C3495559~Juvenile arthritis,C3714758~Juvenile psoriatic arthritis,C4552091~Polyarthritis, Juvenile, Rheumatoid Factor Negative,C4704862~Polyarthritis, Juvenile, Rheumatoid Factor Positive,
OPTN	optineurin(OPTN)	Homo sapiens	C0002736~Amyotrophic Lateral Sclerosis,C0017612~Glaucoma, Open-Angle,C0029401~Osteitis Deformans,C0271148~Secondary Open Angle Glaucoma,C0339573~Glaucoma, Primary Open Angle,C0393554~Amyotrophic Lateral Sclerosis With Dementia,C0543859~Amyotrophic Lateral Sclerosis, Guam Form,C1847730~GLAUCOMA, NORMAL TENSION, SUSCEPTIBILITY TO (finding),C3150692~AMYOTROPHIC LATERAL SCLEROSIS 12,
ODC1	ornithine decarboxylase 1(ODC1)	Homo sapiens	C0002170~Alopecia,C0007102~Malignant tumor of colon,C0007114~Malignant neoplasm of skin,C0009375~Colonic Neoplasms,C0009402~Colorectal Carcinoma,C0009404~Colorectal Neoplasms,C0013575~Ectodermal Dysplasia,C0019693~HIV Infections,C0030354~Papilloma,C0037286~Skin Neoplasms,C0205874~Papilloma, Squamous Cell,C0205875~Papillomatosis,C0221355~Macrocephaly,C0557874~Global developmental delay,C3714756~Intellectual Disability,C4505456~HIV Coinfection,
PPT1	palmitoyl-protein thioesterase 1(PPT1)	Homo sapiens	C0015397~Disorder of eye,C0268281~Infantile neuronal ceroid lipofuscinosis,C1850451~CEROID LIPOFUSCINOSIS, NEURONAL, 1,C2931673~Ceroid lipofuscinosis, neuronal 1, infantile,
PANK2	pantothenate kinase 2(PANK2)	Homo sapiens	C0013421~Dystonia,C0018523~Hallervorden-Spatz Syndrome,C0027746~Nerve Degeneration,C0036341~Schizophrenia,C0270715~Degenerative Diseases, Central Nervous System,C0524851~Neurodegenerative Disorders,C0751733~Degenerative Diseases, Spinal Cord,C1846582~Hypoprebetalipoproteinemia, Acanthocytosis, Retinitis Pigmentosa, And Pallidal Degeneration,C2931845~Neurodegeneration with brain iron accumulation (NBIA),
PPIB	peptidylprolyl isomerase B(PPIB)	Homo sapiens	C0019693~HIV Infections,C0268358~Osteogenesis imperfecta, dominant perinatal lethal,C0268362~Osteogenesis imperfecta type III (disorder),C0268363~Osteogenesis imperfecta type IV (disorder),C1850169~OSTEOGENESIS IMPERFECTA, TYPE IX (disorder),C4505456~HIV Coinfection,
PPID	peptidylprolyl isomerase D(PPID)	Homo sapiens	C0005586~Bipolar Disorder,
PRF1	perforin 1(PRF1)	Homo sapiens	C0002874~Aplastic Anemia,C0004352~Autistic Disorder,C0023418~leukemia,C0024299~Lymphoma,C0024302~Reticulosarcoma,C0024304~Lymphoma, Mixed-Cell,C0024305~Lymphoma, Non-Hodgkin,C0024306~Lymphoma, Undifferentiated,C0079740~High Grade Lymphoma (neoplasm),C0079741~Lymphoma, Intermediate-Grade,C0079747~Low Grade Lymphoma (neoplasm),C0079757~Diffuse Mixed-Cell Lymphoma,C0079770~Lymphoma, Small Noncleaved-Cell,C0178416~Hypoplastic anemia,C0272199~Familial Hemophagocytic Lymphocytosis,C0348890~Aplastic anemia, idiopathic,C0400966~Non-alcoholic Fatty Liver Disease,C1863727~HEMOPHAGOCYTIC LYMPHOHISTIOCYTOSIS, FAMILIAL, 2,C3241937~Nonalcoholic Steatohepatitis,C3714542~Lymphoma, Diffuse,C4721532~Lymphoma, Non-Hodgkin, Familial,C4751597~Fatal post-viral neurodegenerative disorder,
